time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-07T13:53:20.959Z,-3.4427,150.6625,10,5.4,mb,26,64,1.672,1.28,us,us7000jjk8,2023-03-13T21:04:18.040Z,"97 km S of Kavieng, Papua New Guinea",earthquake,9.19,1.707,0.141,17,reviewed,us,us
2023-03-07T13:51:49.540Z,-3.1576,150.6188,9,5.9,mww,117,37,1.794,0.67,us,us7000jhw8,2023-03-13T21:02:20.146Z,"New Ireland region, Papua New Guinea",earthquake,8.49,1.815,0.062,25,reviewed,us,us
2023-03-07T13:12:10.787Z,54.6007,-159.6428,35,4.5,mb,112,77,1.397,0.79,us,us7000jhw4,2023-03-13T20:36:32.040Z,"98 km SSE of Sand Point, Alaska",earthquake,4.55,1.274,0.063,74,reviewed,us,us
2023-03-07T12:51:52.704Z,2.4937,128.5066,63.027,4.6,mb,55,71,2.055,0.47,us,us7000jhw0,2023-03-07T14:35:02.040Z,"Halmahera, Indonesia",earthquake,5.86,7.821,0.082,44,reviewed,us,us
2023-03-07T11:47:28.537Z,38.6304,35.2891,10,4.7,mwr,94,62,0.489,0.85,us,us7000jhvn,2023-03-08T08:23:12.123Z,"14 km W of Hacılar, Turkey",earthquake,3.59,1.85,0.065,23,reviewed,us,us
2023-03-07T11:11:46.782Z,13.3127,92.4297,10,4.9,mb,77,90,6.588,0.86,us,us7000jhvh,2023-03-13T16:19:54.572Z,"181 km N of Bamboo Flat, India",earthquake,8.36,1.884,0.075,56,reviewed,us,us
2023-03-07T09:01:30.545Z,-17.3331,-65.757,66.349,4.7,mb,44,72,2.021,0.87,us,us7000jhuw,2023-03-08T11:29:18.331Z,"Cochabamba, Bolivia",earthquake,6.3,8.193,0.045,151,reviewed,us,us
2023-03-07T08:47:42.281Z,7.6219,126.2112,10,5.6,mww,93,44,0.833,0.94,us,us7000jhuv,2023-03-14T10:47:24.814Z,"9 km ENE of Bantacan, Philippines",earthquake,6.72,1.85,0.061,26,reviewed,us,us
2023-03-07T07:52:12.090Z,-23.1257,-69.5521,101.674,4.5,mb,33,120,0.418,1,us,us7000jhuh,2023-03-07T08:50:41.040Z,"98 km SW of Calama, Chile",earthquake,5.81,3.917,0.163,11,reviewed,us,us
2023-03-07T07:31:57.715Z,-6.5536,103.9819,43.297,5.3,mb,78,81,2.406,0.62,us,us7000jhua,2023-03-07T07:49:36.040Z,"188 km SW of Bandar Lampung, Indonesia",earthquake,7.01,7.015,0.059,96,reviewed,us,us
